Date,Open,High,Low,Close,Volume,MA7,MA30,Daily_Return,Volatility_Amplitude,Dist_MA7,Dist_MA30,Volume_MA7,Volume_Momentum,Next_Day_Close,Target
2024-01-07,43929.01,47248.99,43175.0,46951.04,72814.57589,44419.532857142854,43161.051666666666,0.0687934920454615,0.09274030987723142,0.05699085469896086,0.08781037965903753,50875.39472571428,0.4312336303741119,46110.0,0
2024-01-08,46951.04,47972.0,44748.67,46110.0,69927.66617,44585.688571428575,43238.401333333335,-0.01791312822889548,0.06865300534343864,0.0341883567891836,0.06641315539233161,51558.43180571428,0.3562799278594395,46653.99,1
2024-01-09,46110.0,47695.93,44300.36,46653.99,89911.41203,45129.79714285715,43418.421,0.011797657774886098,0.07364064194317935,0.03377353663518716,0.07452065103887577,52803.697562857145,0.702748409294067,46339.16,0
2024-01-10,46654.0,48969.48,45606.06,46339.16,87470.3296,45442.37714285714,43579.979999999996,-0.006748403137994524,0.07209285377459608,0.019734505840740827,0.06331301666499177,58436.878457142855,0.4968343948102917,42782.73,0
2024-01-11,46339.16,46515.53,41500.0,42782.73,86327.93707,45247.75142857143,43577.103333333325,-0.0767478305605885,0.10823523775571241,-0.054478318827903154,-0.01822914495387499,63901.54757142857,0.35095221244060504,42847.99,1
2024-01-12,42782.74,43257.0,42436.12,42847.99,36118.47464,45087.70428571429,43571.29433333334,0.001525147758184726,0.019187176884883892,-0.04967461353812878,-0.016600478466392295,66513.46374285713,-0.4569749851002346,41732.35,0
2024-01-13,42847.99,43079.0,41720.0,41732.35,28228.40894,44773.89428571429,43564.36266666666,-0.02603716066961366,0.03171677364562492,-0.06793119817332345,-0.04205301201544788,67256.97204857144,-0.5802902200293214,42511.1,1
2024-01-14,41732.35,43400.43,41718.05,42511.1,40269.89303,44139.61714285715,43572.131666666675,0.018660583456239586,0.040313569688742605,-0.03689468210805906,-0.024351153502971297,62607.731640000005,-0.3567904158937518,43137.95,1
2024-01-15,42511.1,43578.01,42050.0,43137.95,45045.74589,43715.03857142857,43630.90833333333,0.014745560571239007,0.03594378879869027,-0.013201145195963559,-0.011298374298495254,59053.1716,-0.23720022702387764,42776.1,0
2024-01-16,43137.94,43198.0,42200.69,42776.1,33266.21388,43161.05428571429,43634.85166666666,-0.008387975874601425,0.02311909191769467,-0.00891901952083924,-0.019680407606901,50961.00043571428,-0.3472221189620424,41327.5,0
2024-01-17,42776.09,42930.0,40683.28,41327.5,43907.51641,42445.102857142854,43603.23533333333,-0.03386447896476739,0.05252279953590899,-0.026330548918784842,-0.05219189163226153,44737.741408571426,-0.018557597510105075,41659.03,1
2024-01-18,41327.51,42196.86,40280.0,41659.03,48342.74559,42284.57428571428,43536.238666666664,0.00802177532592689,0.046382179811946096,-0.014793675856531506,-0.04311830153816072,39311.28548285714,0.22974217190331495,41696.04,1
2024-01-19,41659.03,41872.56,41456.3,41696.04,15923.99493,42120.01,43464.04666666666,0.0008884028264700844,0.009992071346836323,-0.010065762092649103,-0.040677451877083874,36426.35981,-0.5628441872023555,41580.33,0
